,Title,Abstract,Journal,Language,Year,Month,Authors,Affiliations,Name,Abbr Name,ISSN,EISSN,Impact_Factor,Impact_Factor_5Years,Journal_Category,Universities,Study_Type_Extracted,Standardized_University,Rank,Research_Score,Rank_Median,Research_Score_Category
66,type ii diabetes and metformin use does not affect colorectal cancer prognosis.,"previous studies on the impact of metformin and colorectal cancer (crc) outcomes have been limited by small size and confounding by indication, yielding inconsistent results. the aim of this study was to assess whether diabetes and pre-diagnostic metformin use influence crc prognosis. the study was performed using the colorectal cancer data base sweden, a register-linkage originating from the swedish colorectal cancer register with linkage to national health care registers and demographic registers. all adult patients diagnosed with primary non-metastatic crc between 2007 and 2016, treated with curative surgery, were identified and followed up from 90 days post-surgery until december 31, 2022. antidiabetic medication use was defined as dispensed prescription ≥6 months of use within 1 year of surgery. type ii diabetes mellitus (t2dm) patients were divided into three treatment groups (i) diet only, (ii) metformin user, and (iii) non-metformin user. cox regression models estimated hazard ratios (hrs) with 95% confidence intervals (cis) for time to recurrence, crc-specific, and all-cause mortality, adjusted for relevant covariates. of 33,028 non-metastatic crc patients, 4539 (13.7%) had t2dm, with 1745 using metformin. a t2dm diagnosis was not associated with increased recurrence rate or crc-specific mortality; hr<sub>adj</sub> 0.97 (95% ci 0.89-1.06) and hr<sub>adj</sub> 0.95 (95% ci 0.87-1.05), respectively, compared with non-diabetic patients. furthermore, no association between t2dm, metformin use, and recurrence or crc-specific mortality was seen, hr<sub>adj</sub> 0.98 (95% ci 0.86-1.12) and hr<sub>adj</sub> 0.98 (95% ci 0.85-1.13), respectively. t2dm is not associated with an elevated recurrence or crc-specific mortality. additionally, metformin use does not impact crc prognosis.",international journal of cancer,eng,2024,Nov,"Shahrivar Mehrnoosh, Dietrich Caroline E, Glimelius Bengt, Saraste Deborah, Martling Anna, Buchli Christian, Nordenvall Caroline","department of molecular medicine and surgery, karolinska institutet, stockholm, sweden., clinical epidemiology division, department of medicine solna, karolinska institutet, stockholm, sweden., department of immunology, genetics and pathology, uppsala university, uppsala, sweden., department of clinical science and education, karolinska institutet, stockholm, sweden., department of molecular medicine and surgery, karolinska institutet, stockholm, sweden., department of molecular medicine and surgery, karolinska institutet, stockholm, sweden., department of molecular medicine and surgery, karolinska institutet, stockholm, sweden.",international journal of cancer,int j cancer,0020-7136,1097-0215,5.7,6.0,ONCOLOGY|Q1|54/322,"department of molecular medicine and surgery, karolinska institutet, department of medicine solna, karolinska institutet, uppsala university, department of clinical science and education, karolinska institutet, department of molecular medicine and surgery, karolinska institutet, department of molecular medicine and surgery, karolinska institutet, department of molecular medicine and surgery, karolinska institutet",Unknown,karolinska institute,50,67.9,50.0,Medium (50-75)
67,positive changes in body composition and profiles of individuals with diabetes 3 years following laparoscopic sleeve gastrectomy in japanese patients with obesity.,"we analyzed the changes in obesity, glucose metabolism, and body composition over a 3-year period in japanese patients with obesity following laparoscopic sleeve gastrectomy (lsg).",nutrients,eng,2024,Nov,"Ozeki Yoshinori, Masaki Takayuki, Miyamoto Shotaro, Yoshida Yuichi, Okamoto Mitsuhiro, Gotoh Koro, Endo Yuichi, Inomata Masafumi, Shibata Hirotaka","department of endocrinology, metabolism, rheumatology and nephrology, faculty of medicine, oita university, yufu city 879-5593, japan., department of endocrinology, metabolism, rheumatology and nephrology, faculty of medicine, oita university, yufu city 879-5593, japan., department of endocrinology, metabolism, rheumatology and nephrology, faculty of medicine, oita university, yufu city 879-5593, japan., department of endocrinology, metabolism, rheumatology and nephrology, faculty of medicine, oita university, yufu city 879-5593, japan., department of endocrinology, metabolism, rheumatology and nephrology, faculty of medicine, oita university, yufu city 879-5593, japan., department of endocrinology, metabolism, rheumatology and nephrology, faculty of medicine, oita university, yufu city 879-5593, japan., obesity and diabetes center for advanced medicine, faculty of medicine, oita university, yufu city 879-5593, japan., department of gastroenterological and pediatric surgery, faculty of medicine, oita university, yufu city 879-5593, japan., department of endocrinology, metabolism, rheumatology and nephrology, faculty of medicine, oita university, yufu city 879-5593, japan.",nutrients,nutrients,,2072-6643,4.8,5.8,NUTRITION & DIETETICS|Q1|18/114,"faculty of medicine, oita university, faculty of medicine, oita university, faculty of medicine, oita university, faculty of medicine, oita university, faculty of medicine, oita university, faculty of medicine, oita university, obesity and diabetes center for advanced medicine, faculty of medicine, oita university, faculty of medicine, oita university, faculty of medicine, oita university",Unknown,oita university,1501+,11.0,1501.0,Low (0-50)
68,carnosine supplementation has no effect on inflammatory markers in adults with prediabetes and type 2 diabetes: a randomised controlled trial.,"in vitro studies suggest that carnosine reduces inflammation by upregulating anti-inflammatory mediators and downregulating pro-inflammatory cytokines. however, human clinical trials examining the effects of carnosine on inflammatory biomarkers are scant. we conducted a secondary analysis of a double-blind randomised controlled trial (rct) to examine the effects of carnosine supplementation on inflammatory markers and adipokines in participants with prediabetes or well-controlled type 2 diabetes (t2d).",nutrients,eng,2024,Nov,"Saadati Saeede, de Courten Maximilian, Deceneux Cyril, Plebanski Magdalena, Scott David, Mesinovic Jakub, Jansons Paul, Aldini Giancarlo, Cameron James, Feehan Jack, Mousa Aya, de Courten Barbora","monash centre for health research and implementation (mchri), faculty of medicine, nursing and health sciences, monash university, clayton, vic 3168, australia., australian health policy collaboration, institute for health and sport (ihes), victoria university, melbourne, vic 8001, australia., cancer aging and vaccine laboratory, school of health and biomedical sciences, rmit university, bundoora, vic 3083, australia., cancer aging and vaccine laboratory, school of health and biomedical sciences, rmit university, bundoora, vic 3083, australia., institute for physical activity and nutrition (ipan), school of exercise and nutrition sciences, deakin university, geelong, vic 3220, australia., institute for physical activity and nutrition (ipan), school of exercise and nutrition sciences, deakin university, geelong, vic 3220, australia., institute for physical activity and nutrition (ipan), school of exercise and nutrition sciences, deakin university, geelong, vic 3220, australia., department of pharmaceutical sciences, university of milan, 20133 milan, italy., school of clinical sciences, faculty of medicine, nursing and health sciences, monash university, clayton, vic 3168, australia., school of health and biomedical sciences, rmit university, bundoora, vic 3083, australia., monash centre for health research and implementation (mchri), faculty of medicine, nursing and health sciences, monash university, clayton, vic 3168, australia., school of clinical sciences, faculty of medicine, nursing and health sciences, monash university, clayton, vic 3168, australia.",nutrients,nutrients,,2072-6643,4.8,5.8,NUTRITION & DIETETICS|Q1|18/114,"monash centre for health research and implementation (mchri), monash university, victoria university, rmit university, rmit university, institute for physical activity and nutrition (ipan), deakin university, deakin university, deakin university, university of milan, monash university, rmit university, monash university, monash university",human clinical trials,monash university,54,67.8,54.0,Medium (50-75)
69,untargeted lipidomic profiling of amniotic fluid reveals dysregulated lipid metabolism in healthy normal-weight mothers with fetal macrosomia.,"alterations in maternal lipid metabolism have been elucidated by several studies in relation to macrosomia. however, the lipidome of the intrauterine compartment associated with macrosomia, particularly in early pregnancy, remains largely unknown.",nutrients,eng,2024,Nov,"Haj-Husein Isra'a, Kubow Stan, Koski Kristine G","school of human nutrition, mcgill university, ste-anne de bellevue, qc h9x 3v9, canada., school of human nutrition, mcgill university, ste-anne de bellevue, qc h9x 3v9, canada., school of human nutrition, mcgill university, ste-anne de bellevue, qc h9x 3v9, canada.",nutrients,nutrients,,2072-6643,4.8,5.8,NUTRITION & DIETETICS|Q1|18/114,"school of human nutrition, mcgill university, school of human nutrition, mcgill university, school of human nutrition, mcgill university",several studies,mcgill university,49,72.3,49.0,Medium (50-75)
70,diet-wide association study for the incidence of type 2 diabetes in three population-based cohorts.,"dietary factors are well-known modifiable risk factors for type 2 diabetes (t2d), but many studies overlook the interrelationships between these factors, even though foods are often consumed together and contain a variety of nutrients.",nutrients,eng,2024,Nov,"Woo Hye Won, Hoang Manh Thang, Shin Min-Ho, Koh Sang Baek, Kim Hyeon Chang, Kim Yu-Mi, Kim Mi Kyung","department of preventive medicine, college of medicine, hanyang university, seoul 15588, republic of korea., department of preventive medicine, college of medicine, hanyang university, seoul 15588, republic of korea., department of preventive medicine & institute of wonkwang medical science, wonkwang university school of medicine, iksan 35233, republic of korea., department of preventive medicine, keimyung university dongsan medical center, daegu 42601, republic of korea., department of preventive medicine, chonnam national university medical school, gwangju 61186, republic of korea., department of preventive medicine, college of medicine, hanyang university, seoul 15588, republic of korea., department of preventive medicine, college of medicine, hanyang university, seoul 15588, republic of korea.",nutrients,nutrients,,2072-6643,4.8,5.8,NUTRITION & DIETETICS|Q1|18/114,"college of medicine, hanyang university, republic of korea, college of medicine, hanyang university, republic of korea, wonkwang university, republic of korea, keimyung university dongsan medical center, chonnam national university medical school, college of medicine, hanyang university, college of medicine, hanyang university",studies,hanyang university,301–350,40.4,325.5,Low (0-50)
71,depression in cardiac patients is a major cardiovascular event risk factor: a 12-month observational study.,"<b>background</b>: depression is a known factor in poor cardiovascular outcomes but is often underassessed in cardiac units. this study evaluates the impact of depression on cardiovascular outcomes in patients undergoing cardiac interventions. <b>methods:</b> the study included 133 patients who underwent uncomplicated procedures for degenerative aortic valve stenosis (n = 40), acute coronary syndrome (n = 29), or chronic coronary artery disease (n = 64). depression was assessed using the beck depression inventory (bdi) and hamilton depression rating scale (ham-d). the primary endpoint was a major adverse cardiac and cerebrovascular event (macce). patients were followed up for 12 months. cox proportional hazards analysis was used to identify macce risk factors. <b>results</b>: depression was more frequently screened by ham-d than bdi (42.9% vs. 30.8%, <i>p</i> < 0.001). during follow-up, 26 (19.5%) macces occurred. in univariate analysis, risk factors included bdi score ≥ 11, ham-d score ≥ 8, diabetes on insulin, anticoagulant use, atrial fibrillation, and serum creatinine level ≥ 130 µmol/l. depression in the bdi increased the risk of the macce 3.6-fold (95%ci: 1.64-8.0, <i>p</i> = 0.001), whereas in the ham-d, it increased the risk 4.9-fold (95%ci: 1.97-12.24, <i>p</i> < 0.001). multivariate analysis showed ham-d score ≥ 8 as the strongest predictor of macce (hr: 3.08, 95%ci: 1.18-8.08). <b>conclusions</b>: depression is a common finding in cardiovascular patients, and it is a strong risk factor for one-year cardiovascular mortality and adverse event risk. therefore, we believe that common guidelines should be elaborated between relevant psychiatry and cardiology scientific societies.",journal of clinical medicine,eng,2024,Nov,"Podolec Jakub, Kleczyński Paweł, Piechocki Marcin, Okarski Michał, Lizończyk Katarzyna, Szkodoń Kornelia, Silczuk Andrzej, Przewłocki Tadeusz, Legutko Jacek, Kabłak-Ziembicka Anna","department of interventional cardiology, institute of cardiology, jagiellonian university medical college, 31-007 kraków, poland., department of interventional cardiology, institute of cardiology, jagiellonian university medical college, 31-007 kraków, poland., department of cardiac and vascular diseases, institute of cardiology, jagiellonian university medical college, 31-007 kraków, poland., department of interventional cardiology, the st. john paul ii hospital, 31-202 kraków, poland., students' scientific group of modern cardiac therapy, department of interventional cardiology, institute of cardiology, jagiellonian university medical college, 31-007 kraków, poland., students' scientific group of modern cardiac therapy, department of interventional cardiology, institute of cardiology, jagiellonian university medical college, 31-007 kraków, poland., department of environmental psychiatry, faculty of life sciences, medical university of warsaw, 02-091 warsaw, poland., department of interventional cardiology, the st. john paul ii hospital, 31-202 kraków, poland., department of interventional cardiology, institute of cardiology, jagiellonian university medical college, 31-007 kraków, poland., department of cardiac and vascular diseases, institute of cardiology, jagiellonian university medical college, 31-007 kraków, poland.",journal of clinical medicine,j clin med,,2077-0383,3.0,3.4,"MEDICINE, GENERAL & INTERNAL|Q1|58/325","institute of cardiology, jagiellonian university medical college, institute of cardiology, jagiellonian university medical college, institute of cardiology, jagiellonian university medical college, department of interventional cardiology, the st. john paul ii hospital, institute of cardiology, jagiellonian university medical college, institute of cardiology, jagiellonian university medical college, faculty of life sciences, medical university of warsaw, department of interventional cardiology, the st. john paul ii hospital, institute of cardiology, jagiellonian university medical college, institute of cardiology, jagiellonian university medical college",Unknown,jagiellonian university,601–800,29.0,700.5,Low (0-50)
72,impact of individual characteristics on hospital outcomes in exacerbated copd in a biomass-exposed turkish population.,"<b>background</b>: chronic obstructive pulmonary disease (copd) is a leading cause of morbidity and mortality globally, and factors such as biomass exposure, demographic characteristics, and comorbidities significantly influence patient outcomes during exacerbations. <b>aim</b>: this study aims to clarify the impact of patient characteristics on key hospital outcomes, including icu admissions, hospital length of stay, and in-hospital mortality, focusing on the contextual role of biomass exposure rather than its direct impact. <b>methods</b>: using a multicenter, retrospective cohort design, we analyzed the medical records of patients admitted with copd exacerbations from january 2021 to december 2023. eligible patients were over 40 years old with confirmed copd exacerbation, excluding those with other significant lung conditions, severe organ dysfunction, or incomplete data. the collected data included demographics, smoking history, comorbidities, medications, laboratory results, and clinical outcomes, with smoking status categorized into current, former, or never smokers. <b>results</b>: our analysis comprised 334 patients with a mean age of 69 ± 8.8 years, including 52 (15.6%) females. biomass exposure, observed in 22% of patients, was associated with a higher likelihood of being female (<i>p</i> < 0.001), lower smoking rates (<i>p</i> < 0.001), higher prevalence of diabetes mellitus type 2 (<i>p</i> = 0.020), lower peripheral blood eosinophilia (<i>p</i> = 0.001), increased intensive care unit (icu) admissions (<i>p</i> = 0.034), and higher in-hospital mortality (<i>p</i> = 0.043). non-survivors tended to be older and had a higher prevalence of hypertension, a history of childhood pneumonia, longer copd duration, greater need for non-invasive ventilation (niv) during hospitalization, and more frequent icu admissions. univariate cox regression analysis revealed no significant associations between characteristics and outcomes. <b>conclusions</b>: patients with biomass exposure were more likely to be female and had higher rates of icu admission and in-hospital mortality.",journal of clinical medicine,eng,2024,Nov,"Uzer Fatih, Karaboğa Burcu, Calis Aliye Gamze, Kaplan Nermin, Altınöz Emsal Sema, Sahin Sena, Karaca Mustafa","department of respiratory diseases, akdeniz university, 07070 antalya, türkiye., department of respiratory diseases, antalya ataturk state hospital, 07070 antalya, türkiye., department of respiratory diseases, university of health sciences antalya training and research hospital, 07070 antalya, türkiye., department of respiratory diseases, antalya ataturk state hospital, 07070 antalya, türkiye., department of respiratory diseases, akdeniz university, 07070 antalya, türkiye., department of respiratory diseases, akdeniz university, 07070 antalya, türkiye., department of medical oncology, akdeniz university, 07070 antalya, türkiye.",journal of clinical medicine,j clin med,,2077-0383,3.0,3.4,"MEDICINE, GENERAL & INTERNAL|Q1|58/325","akdeniz university, department of respiratory diseases, antalya ataturk state hospital, university of health sciences antalya training and research hospital, antalya ataturk state hospital, akdeniz university, akdeniz university, akdeniz university",multicenter,akdeniz university,1001–1200,27.3,1100.5,Low (0-50)
73,bridging the gap between tolerogenic dendritic cells in vitro and in vivo: analysis of siglec genes and pathways associated with immune modulation and evasion.,"dendritic cells (dcs) are master regulators of the adaptive immune response. inflammatory dcs (inflamdcs) can prime inflammatory t cells in, for instance, cancer and infection. in contrast, tolerogenic dcs (toldcs) can suppress the immune system through a plethora of regulatory mechanisms in the context of autoimmunity. we successfully generated toldcs in vitro to durably restore immune tolerance to an islet autoantigen in type 1 diabetes patients in a clinical trial. however, cancers can induce inhibitory dcs in vivo that impair anti-tumor immunity through siglec signaling.",genes,eng,2024,Oct,"Jansen Diahann T S L, Nikolic Tatjana, den Hollander Nicoline H M, Zwaginga Jaap Jan, Roep Bart O","department of internal medicine, leiden university medical center, 2333 za leiden, the netherlands., department of internal medicine, leiden university medical center, 2333 za leiden, the netherlands., department of internal medicine, leiden university medical center, 2333 za leiden, the netherlands., department of internal medicine, leiden university medical center, 2333 za leiden, the netherlands., department of internal medicine, leiden university medical center, 2333 za leiden, the netherlands.",genes,genes-basel,,2073-4425,2.8,3.3,GENETICS & HEREDITY|Q2|85/191,"department of internal medicine, leiden university medical center, department of internal medicine, leiden university medical center, department of internal medicine, leiden university medical center, department of internal medicine, leiden university medical center, department of internal medicine, leiden university medical center",clinical trial,leiden university,77,62.7,77.0,Medium (50-75)
74,resistance exercise improves glycolipid metabolism and mitochondrial biogenesis in skeletal muscle of t2dm mice via mir-30d-5p/sirt1/pgc-1α axis.,"exercise is a recognized non-pharmacological treatment for improving glucose homeostasis in type 2 diabetes (t2dm), with resistance exercise (re) showing promising results. however, the mechanism of re improving t2dm has not been clarified. this study aims to investigate the effects of re on glucose and lipid metabolism, insulin signaling, and mitochondrial function in t2dm mice, with a focus on the regulatory role of mir-30d-5p. our results confirmed that re significantly improved fasting blood glucose, ipgtt, and itt in t2dm mice. enhanced expression of irs-1, p-pi3k, and p-akt indicated improved insulin signaling. re improved glycolipid metabolism, as well as mitochondrial biogenesis and dynamics in skeletal muscle of t2dm mice. we also found that mir-30d-5p was upregulated in t2dm, and was downregulated after re. additionally, in vitro, over-expression of mir-30d-5p significantly increased lipid deposition, and reduced glucose uptake and mitochondrial biogenesis. these observations were reversed after transfection with the mir-30d-5p inhibitor. mechanistically, mir-30d-5p regulates glycolipid metabolism in skeletal muscle by directly targeting sirt1, which affects the expression of pgc-1α, thereby influencing mitochondrial function and glycolipid metabolism. taken together, re effectively improves glucose and lipid metabolism and mitochondrial function in t2dm mice, partly through regulating the mir-30d-5p/sirt1/pgc-1α axis. mir-30d-5p could serve as a potential therapeutic target for t2dm management.",international journal of molecular sciences,eng,2024,Nov,"Zheng Lifang, Rao Zhijian, Wu Jiabin, Ma Xiaojie, Jiang Ziming, Xiao Weihua","college of physical education, shanghai university, shanghai 200444, china., college of physical education, shanghai normal university, shanghai 200234, china., shanghai key laboratory of human performance, shanghai university of sport, shanghai 200438, china., college of physical education, shanghai university, shanghai 200444, china., college of physical education, shanghai university, shanghai 200444, china., shanghai key laboratory of human performance, shanghai university of sport, shanghai 200438, china.",international journal of molecular sciences,int j mol sci,1661-6596,1422-0067,4.9,5.6,"CHEMISTRY, MULTIDISCIPLINARY|Q2|67/230","college of physical education, shanghai university, college of physical education, shanghai normal university, shanghai key laboratory of human performance, shanghai university of sport, college of physical education, shanghai university, college of physical education, shanghai university, shanghai key laboratory of human performance, shanghai university of sport",re,shanghai university,501–600,38.0,550.5,Low (0-50)
75,<i>socs3</i> methylation partially mediated the association of exposure to triclosan but not triclocarban with type 2 diabetes mellitus: a case-control study.,"this study aimed to evaluate the association of tcs (triclosan (tcs) and triclocarban) exposure with t2dm and glucose metabolism-related indicators and the mediating effect of <i>socs3</i> methylation on their associations. a total of 956 participants (330 t2dm and 626 controls) were included in this case-control study. logistic regression and generalized linear models were used to assess the effect of tcs on t2dm and glucose metabolism-related indicators. the dose-response relationship between tcs and t2dm was analyzed by restricted cubic spline. finally, after evaluating the association between tcs and <i>socs3</i> methylation levels, the mediating effect of <i>socs3</i> methylation on the tc-associated t2dm was estimated. each 1-unit increase in tcs levels was associated with a 13.2% increase in the risk of t2dm (or = 1.132, 95% ci: 1.062, 1.207). a linear dose-response relationship was found between tcs and t2dm. tcs was negatively associated with <i>chr17:76356190</i> methylation. moreover, mediation analysis revealed that <i>chr17:76356190</i> methylation mediated 14.54% of the relationship between tcs exposure and t2dm. exposure to tcs was associated with a higher prevalence of t2dm. <i>socs3</i> methylation partially mediated the association of tcs with t2dm. our findings may provide new insights into the treatment of t2dm, and the study of the biological mechanisms of t2dm.",international journal of molecular sciences,eng,2024,Nov,"Gao Qian, Huan Changsheng, Jia Zexin, Cao Qingqing, Yuan Pengcheng, Li Xin, Wang Chongjian, Mao Zhenxing, Huo Wenqian","department of occupational and environmental health, college of public health, zhengzhou university, 100 kexue avenue, zhengzhou 450001, china., department of occupational and environmental health, college of public health, zhengzhou university, 100 kexue avenue, zhengzhou 450001, china., department of occupational and environmental health, college of public health, zhengzhou university, 100 kexue avenue, zhengzhou 450001, china., department of occupational and environmental health, college of public health, zhengzhou university, 100 kexue avenue, zhengzhou 450001, china., department of occupational and environmental health, college of public health, zhengzhou university, 100 kexue avenue, zhengzhou 450001, china., department of occupational and environmental health, college of public health, zhengzhou university, 100 kexue avenue, zhengzhou 450001, china., department of epidemiology and biostatistics, college of public health, zhengzhou university, zhengzhou 450001, china., department of epidemiology and biostatistics, college of public health, zhengzhou university, zhengzhou 450001, china., department of occupational and environmental health, college of public health, zhengzhou university, 100 kexue avenue, zhengzhou 450001, china.",international journal of molecular sciences,int j mol sci,1661-6596,1422-0067,4.9,5.6,"CHEMISTRY, MULTIDISCIPLINARY|Q2|67/230","college of public health, zhengzhou university, department of occupational and environmental health, college of public health, zhengzhou university, department of occupational and environmental health, college of public health, zhengzhou university, department of occupational and environmental health, college of public health, zhengzhou university, department of occupational and environmental health, college of public health, zhengzhou university, department of occupational and environmental health, college of public health, zhengzhou university, college of public health, zhengzhou university, college of public health, zhengzhou university, department of occupational and environmental health, college of public health, zhengzhou university",case-control study,zhengzhou university,601–800,19.8,700.5,Low (0-50)
76,caffeine: a multifunctional efficacious molecule with diverse health implications and emerging delivery systems.,"natural caffeine is found in many plants, including coffee beans, cacao beans, and tea leaves. around the world, many beverages, including coffee, tea, energy drinks, and some soft drinks, have this natural caffeine compound. this paper reviewed the results of meta-studies on caffeine's effects on chronic diseases. of importance, many meta-studies have shown that regularly drinking caffeine or caffeinated coffee significantly reduces the risk of developing alzheimer's disease, epilepsy, and parkinson's disease. based on the health supplements of caffeine, this review summarizes various aspects related to the application of caffeine, including its pharmacokinetics, and various functional health benefits of caffeine, such as its effects on the central nervous system. the importance of caffeine and its use in alleviating or treating cancer, diabetes, eye diseases, autoimmune diseases, and cardiovascular diseases is also discussed. overall, consuming caffeine daily in drinks containing antioxidant and neuroprotective properties, such as coffee, prevents progressive neurodegenerative diseases, such as alzheimer's and parkinson's. furthermore, to effectively deliver caffeine to the body, recently developed nanoformulations using caffeine, for instance, nanoparticles, liposomes, etc., are summarized along with regulatory and safety considerations for caffeine. the u.s. department of agriculture (usda) and the food and drug administration (fda) recommended that healthy adults consume up to 400 mg of caffeine per day or 5~6 mg/kg body weight. since a cup of coffee contains, on average, 100 to 150 mg of coffee, 1 to 3 cups of coffee may help prevent chronic diseases. furthermore, this review summarizes various interesting and important areas of research on caffeine and its applications related to human health.",international journal of molecular sciences,eng,2024,Nov,"Song Xinjie, Singh Mahendra, Lee Kyung Eun, Vinayagam Ramachandran, Kang Sang Gu","zhejiang provincial key lab for chemical and biological processing technology of farm product, school of biological and chemical engineering, zhejiang university of science and technology, hangzhou 310023, china., department of biotechnology, institute of biotechnology, school of life and applied sciences, yeungnam university, gyeongsan 38541, republic of korea., sunforce inc., 208-31, gumchang-ro, yeungcheon-si 31882, republic of korea., department of biotechnology, institute of biotechnology, school of life and applied sciences, yeungnam university, gyeongsan 38541, republic of korea., department of biotechnology, institute of biotechnology, school of life and applied sciences, yeungnam university, gyeongsan 38541, republic of korea.",international journal of molecular sciences,int j mol sci,1661-6596,1422-0067,4.9,5.6,"CHEMISTRY, MULTIDISCIPLINARY|Q2|67/230","school of biological and chemical engineering, zhejiang university of science and technology, department of biotechnology, institute of biotechnology, school of life and applied sciences, yeungnam university, sunforce inc., department of biotechnology, institute of biotechnology, school of life and applied sciences, yeungnam university, department of biotechnology, institute of biotechnology, school of life and applied sciences, yeungnam university",meta-studies,zhejiang university,55,75.3,55.0,High (75-100)
77,modulators of alpha-2 macroglobulin upregulation by high glucose in glomerular mesangial cells.,"up to 40% of patients with diabetes mellitus will develop diabetic kidney disease (dkd), characterized pathologically by the accumulation of extracellular matrix proteins, which leads to the loss of kidney function over time. our previous studies showed that the pan-protease inhibitor alpha 2-macroglobulin (a2m) is increased in dkd and is a critical regulator of the fibrotic response in glomerular mesangial cells (mc), an initial site of injury during dkd development. how a2m is regulated by high glucose (hg) has not yet been elucidated and is the focus of this investigation. using serial deletions of the full a2m promoter, we identified the -405 bp region as hg-responsive in mc. site-directed mutagenesis, sirna, and chip studies showed that the transcription factor, nuclear factor of activated t cells 5 (nfat5), regulated a2m promoter activity and protein expression in response to hg. forkhead box p1 (foxp1) served as a cooperative binding partner for nfat5, required for a2m upregulation. lastly, we showed that smad3, known for its role in kidney fibrosis, regulated a2m promoter activity and protein production independently of hg. the importance of nfat5, foxp1, and smad3 in a2m regulation was confirmed in ex vivo studies using isolated glomeruli. in conclusion, smad3 is required for basal and hg-induced a2m expression, while nfat5 and foxp1 cooperatively regulate increased a2m transcription in response to hg. inhibition of nfat5/foxp1 will be further evaluated as a potential therapeutic strategy to inhibit a2m production and attenuate profibrotic signaling in dkd.",biomolecules,eng,2024,Nov,"Trink Jackie, Li Renzhong, Gao Bo, Lu Chao, Krepinsky Joan C","division of nephrology, mcmaster university, hamilton, on l8n 1y3, canada., division of nephrology, mcmaster university, hamilton, on l8n 1y3, canada., division of nephrology, mcmaster university, hamilton, on l8n 1y3, canada., division of nephrology, mcmaster university, hamilton, on l8n 1y3, canada., division of nephrology, mcmaster university, hamilton, on l8n 1y3, canada.",biomolecules,biomolecules,,2218-273X,4.8,5.4,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q1|67/313,"division of nephrology, mcmaster university, division of nephrology, mcmaster university, division of nephrology, mcmaster university, division of nephrology, mcmaster university, division of nephrology, mcmaster university",site-directed mutagenesis,mcmaster university,103,51.3,103.0,Medium (50-75)
78,alterations in the levels of urinary exosomal microrna-183-5p and microrna-125a-5p in individuals with type 2 diabetes mellitus.,"<b>background:</b> type 2 diabetes mellitus (t2dm) is a metabolic disorder, and urinary exosomal micrornas (mirnas) were utilized as potential disease prediction or diagnostic biomarkers in numerous studies. this study investigated the differential expression of urinary exosomal mirnas between non-diabetes mellitus (ndm) individuals and those with t2dm. <b>aim:</b> to elucidate the association between urinary exosomal mirnas and t2dm. <b>methods</b>: we recruited patients diagnosed with t2dm and ndm individuals in west china hospital, sichuan university, from november 2023 to february 2024. subsequently, we performed sequencing of urinary exosomal micrornas in both groups. the obtained sequencing results were further validated using rt-qpcr in both the training set and the validation set. additionally, we conducted logistic regression analysis and spearman correlation analysis on mirnas with significant differential expression, as well as analysis of their biological functions. <b>results</b>: a total of 118 urine samples were collected, 59 from individuals diagnosed with t2dm and 59 from ndm. there were differentially expressed mir-183-5p (<i>p</i> = 0.034) and mir-125a-5p (<i>p</i> = 0.008) between the two groups. furthermore, multivariate regression analysis demonstrated that higher mir-125a-5p levels were negatively associated with the risk of t2dm (<i>p</i> = 0.044; or: 0.046; 95% ci: 0.002, 0.922). bioinformatics analysis indicated that the target genes of mir-183-5p were predominantly involved in insulin signaling and glucose transport processes, while those target genes of mir-125a-5p primarily mediated autophagy. <b>conclusions</b>: mir-183-5p and mir-125a-5p might be involved in the pathogenesis of t2dm, while higher urinary exosomal mir-125a-5p was negatively associated with the risk of t2dm.",biomedicines,eng,2024,Nov,"Fang Yixuan, Sun Shiyi, Wu Jing, Liu Guanjian, Wu Qinqin, Ran Xingwu","innovation research center for diabetic foot, diabetic foot care center, department of endocrinology & metabolism, west china hospital, sichuan university, chengdu 610041, china., innovation research center for diabetic foot, diabetic foot care center, department of endocrinology & metabolism, west china hospital, sichuan university, chengdu 610041, china., innovation research center for diabetic foot, diabetic foot care center, department of endocrinology & metabolism, west china hospital, sichuan university, chengdu 610041, china., chinese cochrane centre, west china hospital, sichuan university, chengdu 610041, china., health management center, general practice center, west china hospital, sichuan university, chengdu 610041, china., innovation research center for diabetic foot, diabetic foot care center, department of endocrinology & metabolism, west china hospital, sichuan university, chengdu 610041, china.",biomedicines,biomedicines,,2227-9059,3.9,4.1,PHARMACOLOGY & PHARMACY|Q1|85/354,"department of endocrinology & metabolism, west china hospital, sichuan university, department of endocrinology & metabolism, west china hospital, sichuan university, department of endocrinology & metabolism, west china hospital, sichuan university, west china hospital, sichuan university, west china hospital, sichuan university, department of endocrinology & metabolism, west china hospital, sichuan university",Unknown,sichuan university,150,57.3,150.0,Medium (50-75)
